col1
"1891 American Association Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Dummy Hoy,St. Louis,119,Top 25
Batting Average,Dan Brouthers,Boston,.350,Top 25
Doubles,Jocko Milligan,Philadelphia,35,Top 25
Hits,Tom Brown,Boston,189,Top 25
Home Runs,Duke Farrell,Boston,12,Top 25
On Base Percentage,Dan Brouthers,Boston,.471,Top 25
RBI,Hugh Duffy,Boston,110,Top 25
Duke Farrell,Boston
Runs,Tom Brown,Boston,177,Top 25
Slugging Average,Dan Brouthers,Boston,.512,Top 25
Total Bases,Tom Brown,Boston,276,Top 25
Triples,Tom Brown,Boston,21,Top 25
Statistic,Name(s),Team(s),#,Top 25
