col1
"1994 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Barry Bonds,San Francisco,74,Top 25
Batting Average,Tony Gwynn,San Diego,.394,Top 25
Doubles,Craig Biggio,Houston,44,Top 25
Larry Walker,Montreal
Hits,Tony Gwynn,San Diego,165,Top 25
Home Runs,Matt Williams,San Francisco,43,Top 25
On Base Percentage,Jeff Bagwell,Houston,.461,Top 25
RBI,Jeff Bagwell,Houston,116,Top 25
Runs,Jeff Bagwell,Houston,104,Top 25
Slugging Average,Jeff Bagwell,Houston,.750,Top 25
Stolen Bases,Craig Biggio,Houston,39,Top 25
Total Bases,Jeff Bagwell,Houston,300,Top 25
Triples,Brett Butler,Los Angeles,9,Top 25
Darren Lewis,San Francisco
Statistic,Name,Team,#,Top 25
