col1
"2008 National League Player Review
← 2007 | 2008 Hitting Statistics League Leaders | 2009 →"
Statistic,Name,Team,#,Top 25
Base on Balls,Adam Dunn,Arizona,122,Top 25
Batting Average,Chipper Jones,Atlanta,.364,Top 25
Doubles,Lance Berkman,Houston,46,Top 25
Nate McLouth,Pittsburgh
Hits,Jose Reyes,New York,204,Top 25
Home Runs,Ryan Howard,Philadelphia,48,Top 25
On Base Percentage,Chipper Jones,Atlanta,.470,Top 25
RBI,Ryan Howard,Philadelphia,146,Top 25
Runs,Hanley Ramirez,Florida,125,Top 25
Slugging Average,Albert Pujols,St. Louis,.653,Top 25
Stolen Bases,Willy Taveras,Colorado,68,Top 25
Total Bases,Albert Pujols,St. Louis,342,Top 25
Triples,Jose Reyes,New York,19,Top 25
Statistic,Name,Team,#,Top 25
2008 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year
